Mass,dlogLumdM,dlogLumdM_lb,dlogLumdM_ub
0.17200000000000004,0.0052407351360717865,0.004697414114443906,0.005715984456379547
0.17300000000000004,0.00518476406224309,0.004648157032287197,0.005656828682517203
0.17400000000000004,0.005132563547312814,0.004604568514361294,0.005598090283100504
0.17500000000000004,0.005081530607564058,0.004556091167961099,0.005544664223631999
0.17600000000000005,0.005032767963010169,0.00451624834143342,0.005488383783035642
0.17609128923313835,0.005031424392617614,0.0045130555032563595,0.005482210661821821
0.17700000000000005,0.004986651902599707,0.004477023805199294,0.005434362481913951
0.17734875983495368,0.004971928111643454,0.004464394911608534,0.005415288242378391
0.17800000000000005,0.004943671021671596,0.004439479266914153,0.005382439814373686
0.17900000000000005,0.004900360085377663,0.0044050477289309595,0.005335294291993765
0.18000000000000005,0.004856783194263112,0.0043728043025920964,0.005290597775526079
0.18100000000000005,0.004816727080074571,0.0043407424087683185,0.005241374132691014
0.18149697679567303,0.004798329579088148,0.004326886055904641,0.005221147910806053
0.18200000000000005,0.004776758679615175,0.004309047576501763,0.0051988448671248634
0.18260064118189623,0.0047549605462764025,0.004291213044960037,0.005172263875805973
0.18300000000000005,0.0047377524668721785,0.0042790370264780345,0.005153974984036398
0.18400000000000005,0.004698516245843154,0.004252130088419259,0.005110724259840401
0.18500000000000005,0.004663484306550012,0.00422872437047157,0.005072272468674103
0.18600000000000005,0.004627745695387498,0.0041997394674327965,0.0050350266616080025
0.18700000000000006,0.004592307698742223,0.00417597946870325,0.00499648951717481
0.18800000000000003,0.0045596692900429,0.004148824740712966,0.004958240824879263
0.18900000000000003,0.004525289980692869,0.004123497124029548,0.004923073876907988
0.19000000000000003,0.0044957259326889615,0.004101146422548381,0.004887900658372231
0.19100000000000003,0.004466081395256693,0.004075282382092956,0.004853802524164725
0.19200000000000003,0.004434564912987399,0.004047910272469056,0.004821083710936882
0.19300000000000003,0.004405585783164511,0.004026667044549908,0.004790650295703457
0.19394416339916454,0.004378111624129211,0.004003524158831332,0.004761586332867013
0.19400000000000003,0.00437578848536689,0.004002885861049206,0.004757417807633079
0.19500000000000003,0.004347061496411495,0.003977468917616164,0.004731598143857533
0.19600000000000004,0.004318075031223986,0.003955842715432321,0.004703255464445482
0.19700000000000004,0.004291382795470214,0.003934030445491122,0.004675979709548594
0.19800000000000004,0.0042635933826250475,0.003910008614738807,0.004648166476043284
0.19900000000000004,0.004236873287959743,0.0038864584039096633,0.004620071610695266
0.20000000000000004,0.004209212997417995,0.003859467669441769,0.004594051885611299
0.20100000000000004,0.004183103622272536,0.0038340117939765785,0.004565748960110419
0.20200000000000004,0.0041528598833469755,0.0038093535902616786,0.004537581359135938
0.20300000000000004,0.004125677953240128,0.003779741049981519,0.004511248513014553
0.20400000000000004,0.004100244738599691,0.003753510780281764,0.004487391999102533
0.20500000000000004,0.004071365372911622,0.003726790832040373,0.004462544374896636
0.20600000000000004,0.0040439296925310975,0.00369956127101086,0.004435364054244766
0.20700000000000005,0.0040169110692230454,0.0036729497730692787,0.0044106073451270775
0.20800000000000005,0.003988247119361763,0.0036463932543734797,0.004383381044546536
0.20900000000000005,0.0039602204206500655,0.0036150571185457,0.0043607320638289196
0.21000000000000005,0.003932852912515151,0.003586251164871382,0.004332505185802779
0.21100000000000005,0.0039053847035597678,0.003556539572285903,0.004306030924286103
0.21200000000000005,0.0038745406904188043,0.0035239484549478184,0.004282182912133604
0.21300000000000005,0.003846999826013621,0.0034946863224674654,0.0042523655239236745
0.21400000000000005,0.0038164837691425156,0.0034647766186086605,0.004226478074341305
0.21500000000000005,0.003788534768173101,0.0034309674292378415,0.004201012005255451
