Teff,LogL,LogL_lb,LogL_ub
3155.0,-2.362795621061931,-2.397519593004537,-2.3307805156992725
3160.0,-2.352229502197221,-2.3865083045751447,-2.3207497992324866
3165.0,-2.341816176019379,-2.375661417249758,-2.3105917700576097
3170.0,-2.331198462675213,-2.3647260350591415,-2.3004300932392865
3175.0,-2.320619830627085,-2.3538344084076073,-2.290119397240091
3180.0,-2.3100991532548836,-2.3426959963863756,-2.2799250183262734
3185.0,-2.2995611754183063,-2.331770844686978,-2.2695469483369877
3188.7576212191584,-2.2914705531125237,-2.3234023587018022,-2.261837375616923
3190.0,-2.289089066003686,-2.320762535909528,-2.259362108820241
3195.0,-2.278324761152052,-2.309906147150307,-2.2489942036009367
3195.671351060591,-2.2768098684010183,-2.3084823185670236,-2.2475250824405633
3200.0,-2.2676634036101433,-2.298854338691957,-2.23853437568511
3200.7100518996936,-2.2660069902167965,-2.2972088036189247,-2.237072972552616
3205.0,-2.2570380524571765,-2.287711663778604,-2.228347430305162
3210.0,-2.2464295621488883,-2.2765583376419722,-2.2177802934414723
3215.0,-2.2357643300775134,-2.2658074397894423,-2.207481410256199
3220.0,-2.2252327697831222,-2.2546108308330326,-2.196887086780702
3223.003698426874,-2.21877841634179,-2.2478169551222664,-2.190534988206406
3225.0,-2.2145075273784203,-2.243439206215476,-2.1864549007401735
3230.0,-2.2038004175171872,-2.2325183533550916,-2.1761684532894265
3235.0,-2.193033232923206,-2.2215639682502264,-2.1656432422247973
3240.0,-2.1823634465221455,-2.210313725241619,-2.1550874493130805
3240.3006703187107,-2.181746754203421,-2.209885410428082,-2.154479512453459
3245.0,-2.171644232346898,-2.199501433577845,-2.1447866340293196
3247.7445589392355,-2.1656413902750815,-2.193383206617052,-2.138932496453847
3250.0,-2.160857523523264,-2.1885193074892815,-2.1341288376483307
3250.0018848152336,-2.160774135731202,-2.1883382591770446,-2.1340874303376434
3255.0,-2.1500995676708583,-2.177425526438926,-2.123571053977202
3259.763088436009,-2.139805231080821,-2.166989279141906,-2.113551605734039
3260.0,-2.139265206092671,-2.1665515966862565,-2.113208253346227
3265.0,-2.128675376406697,-2.1555991336306413,-2.1024328002461745
3270.0,-2.1178562473071523,-2.144710592859848,-2.091740550520031
3275.0,-2.107204667029051,-2.1338783433970203,-2.0812149477345403
3276.88900099396,-2.10328073048752,-2.1297957844642443,-2.0774508183324367
3277.884029817636,-2.1012564416581174,-2.1276650907518166,-2.0753205780473754
3278.959813777558,-2.0988082056182815,-2.1253450662741504,-2.0730728666346128
3280.0,-2.0966872246064483,-2.1231146846394773,-2.070861081671197
3285.0,-2.086005898689928,-2.1122687888757254,-2.060383038802102
3287.4937700713713,-2.0806027840114334,-2.10675500168359,-2.054989815273266
3290.0,-2.0753894419779124,-2.101398384855334,-2.0498003067722106
3293.150372385177,-2.0685905388556174,-2.094575106905629,-2.043157820048876
3295.0,-2.0647793147735674,-2.090588597618457,-2.0391802981684584
3297.4715784152295,-2.0595170101621734,-2.08522945239049,-2.034191279701533
3300.0,-2.0541303294781144,-2.0797704565241846,-2.0288430108838993
3302.989329315477,-2.047908432826623,-2.0733044252624726,-2.022542544906822
3305.0,-2.0435346463668336,-2.0691818670083966,-2.01816714233192
3305.347490979374,-2.0427849450829587,-2.0682665661921114,-2.017618151626577
3306.825968689644,-2.039837399700961,-2.0651376361889815,-2.0146372396015964
3310.0,-2.0329484743811124,-2.0581982015488984,-2.0080068447908155
3315.0,-2.022319359594918,-2.0477344903573838,-1.9974513828235845
3320.0,-2.0117352383961338,-2.037166238763747,-1.986647242404542
3320.2060555618427,-2.0113335731310107,-2.0366951141333764,-1.9863624540991698
3325.0,-2.001201090237438,-2.0265883268809466,-1.976322970058705
3330.0,-1.9906244181028547,-2.016115376959584,-1.965870289845042
3332.11985597212,-1.9862983341586467,-2.011541851035421,-1.9616121860467737
3333.6174016691125,-1.9830675371006339,-2.0084494715649686,-1.9582588627922368
3335.0,-1.9802159143054923,-2.0056369935796776,-1.9554589734425012
3340.0,-1.9699490204482188,-1.9950027300312976,-1.9448989052883672
3341.466961287827,-1.9667895841740348,-1.9920194666174913,-1.941782601776501
3345.0,-1.9594643065924338,-1.9846241554566255,-1.9343670102942963
3350.0,-1.9491233167919657,-1.9742473588954472,-1.924027827519517
3355.0,-1.938675228626958,-1.963965698346587,-1.91375489616659
3360.0,-1.9284207645982225,-1.9537965322512312,-1.9033937031543398
3362.346186473553,-1.9237687639219994,-1.9489769642713302,-1.8984844063642767
3365.0,-1.9183672613179872,-1.9436024066909157,-1.8930732923167537
3369.821259015617,-1.9084958094762232,-1.9336750515357288,-1.8832620842620622
3370.0,-1.9081736411327914,-1.933212960417106,-1.8828319916497327
3375.0,-1.8978331595523241,-1.9229909433168488,-1.872563433060398
3380.0,-1.8877973420799978,-1.9130362819439206,-1.8624139358439242
3385.0,-1.8778389175018053,-1.9030177695297543,-1.8523213657814201
3390.0,-1.8677774451788869,-1.8928477531653904,-1.8420592907166338
3395.0,-1.857748803004744,-1.8827460355214576,-1.8319907432119464
3400.0,-1.847778906502488,-1.8727627090515337,-1.821874839180377
3400.553543157244,-1.8466995655559801,-1.8715379988076377,-1.8208217532567497
3403.886595630481,-1.8400052109442913,-1.8651165927440736,-1.8142414203445365
3405.0,-1.8378410455338883,-1.8628830713300766,-1.8120486826165276
3410.0,-1.8278090369651576,-1.853005353598112,-1.8020748014783825
3411.839054803083,-1.824231428936574,-1.8491989838864233,-1.7984547588835609
3415.0,-1.8180884754577946,-1.8429696471174688,-1.79191516264503
3420.0,-1.8083044493063893,-1.8332855010328404,-1.7822111797012736
3423.839728532601,-1.8006523831272991,-1.8259510314849434,-1.774700397314545
3424.547647692588,-1.799291965630957,-1.8244575833424084,-1.773378465402648
3425.0,-1.7983811251228186,-1.8236901041567266,-1.772439573650565
3425.6984462132664,-1.7970170419008942,-1.8221702300140918,-1.771057059383154
3430.0,-1.7887077330083574,-1.8139180952760994,-1.7628059063823263
3435.0,-1.7791103825955266,-1.8044343898389594,-1.753017456127396
3440.0,-1.7694169097342969,-1.7949352542323949,-1.7433775298814256
3442.8293851321105,-1.764185345975367,-1.7894684550548157,-1.7379507382459927
3445.0,-1.7599474956047407,-1.7854543548379895,-1.7338648754418244
3450.0,-1.7504576828844227,-1.7760188167247,-1.7244015163188877
3455.0,-1.740981911151944,-1.7666758043024933,-1.714925618562782
3459.9849778757084,-1.7316413297786262,-1.7572618645010762,-1.7054174928435017
